TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,foreign_amt_6m,foreign_cnt_6m,foreign_amt_growth_pct_m,foreign_cnt_growth_pct_m,foreign_amt_change_mar_jun_pct,foreign_cnt_change_mar_jun_pct,all_amt,all_cnt,foreign_amt_share_pct,foreign_cnt_share_pct,registered_foreigner_change_pct,store_lq
4004,대형할인점,서울특별시,강남구,919870000,24992,-1.5276609920127462,-2.151489844827099,-4.163528042183117,-9.386026817219474,21336780000,743812,4.31119409770359,3.359988814377827,0.5711488250652792,
4004,대형할인점,서울특별시,강동구,448540000,16259,-3.819004194684523,-2.3922950753806087,-12.74131274131274,-6.000745434215432,14426870000,570740,3.1090596920884432,2.848757753092477,-0.26954177897574993,
4004,대형할인점,서울특별시,강북구,75170000,4058,-0.124198482535186,-0.20674012938647615,-11.495946941783345,-12.600536193029484,2624890000,131062,2.8637390519221757,3.096244525491752,4.49406444318825,
4004,대형할인점,서울특별시,강서구,662820000,18225,-4.02519979411916,-2.25837731922238,-9.602649006622528,-9.554551323434481,23042700000,677455,2.8764858284836414,2.690215586275103,-1.1026672627030223,
4004,대형할인점,서울특별시,관악구,159360000,9965,-3.4952715735081936,0.7518882438220513,-25.015954052329292,-6.281547952888388,3666760000,227598,4.346071190915141,4.378333728767388,0.63046573113688,
4004,대형할인점,서울특별시,광진구,546450000,22030,-4.393267483731088,-1.0831822748476805,-12.344995571302036,-11.048449115611376,10249800000,409443,5.331323538020254,5.380480311056728,0.22055081151388833,
4004,대형할인점,서울특별시,구로구,1946960000,46553,-2.782519533963951,-1.4895235125380513,-16.047992889942236,-13.300970873786412,14955700000,464433,13.018180359327882,10.023620199253713,-7.9373040752351045,
4004,대형할인점,서울특별시,금천구,3450970000,59628,-6.574946368446785,-3.1834480363371194,-20.377485172889692,-13.196419167983152,19072180000,746854,18.09426085534008,7.983889756230803,-7.86661885980638,
4004,대형할인점,서울특별시,노원구,516410000,13948,-4.2201724448393,-1.5531660601517032,-2.699590583418626,-10.148514851485146,23416980000,694111,2.205280100166631,2.009476870414098,4.52107279693486,
4004,대형할인점,서울특별시,도봉구,136620000,5226,-6.860011920339408,-5.990019690654429,-19.023949389968365,-20.561797752808985,5315140000,225006,2.5703932539876653,2.322604730540519,3.225806451612897,
4004,대형할인점,서울특별시,동대문구,248660000,9212,3.379702140348304,2.6713051500371296,1.0828625235404843,-1.576292559899116,5545110000,237884,4.4843114022986015,3.8724756604059123,1.3472467176170824,
4004,대형할인점,서울특별시,동작구,152750000,9894,-0.20591929092645014,1.3653484044217348,-10.914871070293188,-6.014614952220356,3423890000,209670,4.461299866526086,4.718843897553298,-1.4772360348724476,
4004,대형할인점,서울특별시,마포구,345980000,12531,-10.316156352402217,-6.628384792577177,-34.44960743470598,-28.857890148212732,8153010000,317982,4.2435861111417745,3.940789101269883,-1.7220386154113783,
4004,대형할인점,서울특별시,서대문구,116440000,8605,-3.789012946813855,-0.437659162144901,-15.35471331389698,-10.94264996704021,2743110000,192388,4.244817014264831,4.472732187038693,-1.1143261712737882,
4004,대형할인점,서울특별시,서초구,667450000,20390,-4.3506669756259795,-2.1289139845263345,-21.454455608631193,-12.631871182676292,24047440000,729947,2.7755553189861377,2.793353490047908,1.650505467299368,
4004,대형할인점,서울특별시,성동구,1016350000,20580,-1.508881670652917,-0.21304320342573307,0.20652371985664786,-4.91520551882725,16420330000,413359,6.189583278776979,4.978723095420688,2.0820189274447927,
