SIDO_NM,CCG_NM,STRD_YYMM,AGE_CD,population_age,population_total
강원특별자치도,태백시,202603,4,4746.0,36859.0
강원특별자치도,태백시,202603,5,6635.0,36859.0
강원특별자치도,태백시,202603,6,15618.0,36859.0
강원특별자치도,태백시,202604,1,4581.0,36850.0
강원특별자치도,태백시,202604,2,2597.0,36850.0
강원특별자치도,태백시,202604,3,2672.0,36850.0
강원특별자치도,태백시,202604,4,4726.0,36850.0
강원특별자치도,태백시,202604,5,6619.0,36850.0
강원특별자치도,태백시,202604,6,15655.0,36850.0
강원특별자치도,태백시,202605,1,4566.0,36853.0
강원특별자치도,태백시,202605,2,2594.0,36853.0
강원특별자치도,태백시,202605,3,2679.0,36853.0
강원특별자치도,태백시,202605,4,4706.0,36853.0
강원특별자치도,태백시,202605,5,6608.0,36853.0
강원특별자치도,태백시,202605,6,15700.0,36853.0
강원특별자치도,태백시,202606,1,4556.0,36811.0
강원특별자치도,태백시,202606,2,2596.0,36811.0
강원특별자치도,태백시,202606,3,2670.0,36811.0
강원특별자치도,태백시,202606,4,4693.0,36811.0
강원특별자치도,태백시,202606,5,6589.0,36811.0
강원특별자치도,태백시,202606,6,15707.0,36811.0
